20050101_20090101收益,20090101_20130101收益,20130101_20170101收益,快线,慢线,择时变量,sigmod乘积
3.5757630199723875,1.1615647894528875,1.4084298210445483,30.0,150.0,最高价,0.3016148617738663
3.5126737388161042,1.1493187469649073,1.4322418578944802,30.0,170.0,开盘价,0.3013728797723963
3.9610671124989993,1.0820770267494582,1.4420278836785132,10.0,130.0,开盘价,0.3012606423128711
3.8908873174759973,1.1925375964466352,1.3219491369625558,70.0,80.0,最低价,0.3010079442147782
3.8884816382043215,1.2355516886473679,1.2763020107905034,100.0,210.0,收盘价-成交量,0.3009032333098912
3.8884816382043215,1.2355516886473679,1.2763020107905034,100.0,210.0,成交量,0.3009032333098912
3.436171648963897,1.2296095612927773,1.3519001518215266,20.0,90.0,最高价,0.3007751833304063
3.4991746449628156,1.0991194863890554,1.489725325022996,20.0,120.0,最低价,0.30067182425481614
3.4690942578773707,1.1653158009522084,1.4152396736259405,30.0,140.0,最低价,0.3005633359894585
2.5992218202384607,1.3250439966533276,1.4984732123389226,10.0,140.0,收盘价-成交量,0.3004543845172813
2.5992218202384607,1.3250439966533276,1.4984732123389226,10.0,140.0,成交量,0.3004543845172813
3.5186666720679667,1.3920042330236746,1.1733585188652929,110.0,130.0,成交量,0.30001059931900675
3.5186666720679667,1.3920042330236746,1.1733585188652929,110.0,130.0,收盘价-成交量,0.30001059931900675
3.6524218354194207,1.1965797367168909,1.3431061620806637,70.0,80.0,收盘价,0.29998429527223097
3.1800298376103933,1.201382336232419,1.4327087239551788,80.0,90.0,最高价,0.2998037276727936
3.3687193781948412,1.4601208795077343,1.1394033862176767,10.0,80.0,开盘价,0.2997913323229921
2.3835427478256928,1.380284415285156,1.537634603889961,40.0,150.0,收盘价-成交量,0.29978105375176484
2.3835427478256928,1.380284415285156,1.537634603889961,40.0,150.0,成交量,0.29978105375176484
3.6871957197396186,1.4420351441074315,1.103370662495995,10.0,80.0,最高价,0.2996891879115976
3.8188119141736516,1.3253680624884405,1.1879012573688903,80.0,130.0,最高价,0.2996303812861229
3.3244812521905973,1.1903314870262274,1.4083645484524066,30.0,70.0,最高价,0.2995394808164815
2.6796038288201296,1.1840995031797015,1.622843961198902,10.0,50.0,开盘价,0.2994688839701423
