交易日期,总市值,净利润,股票数量,平均市盈率
2016-12-22,4616286586268.847,84679895284.62167,494,54.51455237105365
2016-12-23,4552129385142.148,84692044757.41446,494,53.7491968481919
2016-12-26,4613834208985.651,85027809258.923,498,54.26264946960827
2016-12-27,4673494609179.91,85990237240.08257,502,54.34913031035874
2016-12-28,4654707825166.421,86095046446.25,502,54.06475769860234
2016-12-29,4656121919550.662,86173040063.00296,504,54.032234630999106
2016-12-30,4668639733204.551,86262801061.93277,505,54.12112377214229
2017-01-03,4686131112507.7705,86098396028.85913,504,54.42762384257468
2017-01-04,4760097969898.987,86133591362.10844,505,55.264129761957555
2017-01-05,4730629642134.509,85699136018.47942,506,55.200435639332895
2017-01-06,4693063296423.2705,85803961583.29346,508,54.695182015197744
2017-01-09,4672141442034.542,85525942077.34053,507,54.62835402397037
2017-01-10,4652711824506.082,85525942167.52217,507,54.401175907453656
2017-01-11,4585229777047.27,85420636236.39949,506,53.67824426357303
2017-01-12,4541623351655.787,85329312697.82541,505,53.22465642889831
2017-01-13,4446366016294.177,85377780427.38953,506,52.07872580004159
2017-01-16,4282797629791.3613,85817870750.22577,506,49.905661750295685
2017-01-17,4383391747873.491,86318605521.80994,506,50.78154033391966
2017-01-18,4334877205225.7886,86599812127.69019,508,50.05642736076695
2017-01-19,4223188997615.2583,85110501020.99225,505,49.620069755829796
2017-01-20,4397937741128.212,85857515877.24196,506,51.22367792956333
2017-01-23,4448910814311.69,85905707759.48242,506,51.788302900287924
2017-01-24,4360830362705.91,85676760014.06729,503,50.89863764677731
2017-01-25,4381369809167.579,84412693282.13535,504,51.90415847203905
2017-01-26,4422961550942.57,84412656729.59782,504,52.396900207877664
2017-02-03,4399953517816.398,84413039594.65828,504,52.12409763875901
2017-02-06,4468427379183.557,84562574714.08101,504,52.841666591775294
2017-02-07,4454707516596.928,84624523061.92325,506,52.64085817461252
2017-02-08,4511468959822.871,84975641176.185,506,53.09132002274601
2017-02-09,4519819260933.331,84733915066.51166,504,53.34132451434011
2017-02-10,4427326593081.384,83583172623.58638,502,52.969113927030264
2017-02-13,4444071879988.2705,83395867534.3939,500,53.28887403390171
2017-02-14,4428392967889.15,83511621717.83046,499,53.0272658678792
2017-02-15,4424035000000.0,85608353236.48798,501,51.67760893354492
2017-02-16,4440824662841.897,85843429129.18275,501,51.73167833450661
2017-02-17,4397100752135.439,85952605383.94513,502,51.15727129496371
2017-02-20,4408533140930.05,85722669101.09076,500,51.427856682007516
2017-02-21,4466968159846.107,85474305692.04303,499,52.26094700248552
2017-02-22,4495562912676.318,85324275813.19194,500,52.6879703323689
2017-02-23,4507066247699.427,85346025245.99968,499,52.80932808186848
2017-02-24,4542384446890.579,85250617175.50024,500,53.282716271008915
2017-02-27,4524894779048.996,85552197483.3379,501,52.89045649505685
2017-02-28,4537921789559.372,85183986499.67804,502,53.27200540886312
2017-03-01,4574822499188.44,85406125840.28978,505,53.56550779206868
2017-03-02,4540065964573.47,84823148949.72466,504,53.52390262314362
2017-03-03,4570863066186.498,84652224889.71362,502,53.995781825480634
2017-03-06,4697071173769.879,85875760790.71089,503,54.69612298652214
2017-03-07,4719926122914.066,86169862668.68945,502,54.7746738446305
2017-03-08,4687347818139.47,86089313486.87372,502,54.44749909469499
2017-03-09,4673856410878.338,86167844691.35565,503,54.241305763415696
2017-03-10,4690816899811.112,85977814492.93054,505,54.55845705634692
2017-03-13,4737096595728.3,85900580026.55742,504,55.146270191234535
2017-03-14,4715914726645.107,85749234986.32349,503,54.996580755469935
2017-03-15,4717018794152.327,85723445678.02357,503,55.0260055092676
2017-03-16,4745595684589.598,85430009381.49786,501,55.549516135455114
2017-03-17,4725175701042.548,85574980336.44734,503,55.21678979609467
2017-03-20,4719698956680.061,85239290870.76527,499,55.36999320930281
