code,start,param,stock_rtn,stock_md,stock_md_start,stock_md_end,strategy_rtn,strategy_md,strategy_md_start,strategy_md_end,excessive_rtn
sh600429,2006-01-04,10,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.12028774631699024,-0.6299225312165491,2013-10-21,2019-08-26,0.027389181970031817
sh600429,2006-01-04,12,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.03246087255317365,-0.7854272121300179,2008-01-07,2019-08-30,-0.060437691793784776
sh600429,2006-01-04,14,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.026011264875472007,-0.7790193528519456,2008-01-07,2020-03-13,-0.06688729947148642
sh600429,2006-01-04,16,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.0874331914414388,-0.6160327757261882,2013-10-21,2020-03-13,-0.005465372905519628
sh600429,2006-01-04,18,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.0032516696302505865,-0.8245612180714441,2007-05-22,2020-03-13,-0.09615023397720901
sh600429,2006-01-04,20,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.030419859562671347,-0.8811806643213096,2007-05-22,2020-03-13,-0.12331842390962977
sh600429,2006-01-04,22,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.037585034841437825,-0.8887193961508859,2007-05-22,2020-03-13,-0.13048359918839625
sh600429,2006-01-04,24,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.003187975896032258,-0.805417243297245,2007-05-22,2020-03-13,-0.08971058845092617
sh600429,2006-01-04,26,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.022436186798600377,-0.879294573108033,2007-05-22,2020-03-13,-0.1153347511455588
sh600429,2006-01-04,28,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,-0.007239164888581562,-0.853035426764833,2007-05-22,2020-03-13,-0.10013772923553999
sh600429,2006-01-04,30,0.09289856434695842,-0.7198167592836405,2007-05-22,2008-09-16,0.025666674205828688,-0.801357947370906,2009-05-19,2020-03-13,-0.06723189014112974
sh603108,2015-06-09,10,-0.00112450159462818,-0.6512236487599862,2015-11-12,2019-01-25,0.026230204522444955,-0.4053581519859294,2019-04-04,2019-12-30,0.027354706117073135
sh603108,2015-06-11,12,-0.04663014702385493,-0.6512236487599862,2015-11-12,2019-01-25,-0.09693070603368548,-0.509517276039207,2015-11-12,2020-03-13,-0.05030055900983055
sh603108,2015-06-15,14,-0.09021609212279624,-0.6512236487599862,2015-11-12,2019-01-25,-0.06605556124810252,-0.48112777645786875,2016-04-06,2018-11-26,0.02416053087469372
sh603108,2015-06-17,16,-0.08815066146675321,-0.6512236487599862,2015-11-12,2019-01-25,-0.001467888559436803,-0.47847396739583403,2016-04-06,2019-01-31,0.08668277290731641
sh603108,2015-06-19,18,-0.09502716934588806,-0.6512236487599862,2015-11-12,2019-01-25,-0.08874870405902857,-0.6718195157448059,2015-11-12,2019-01-10,0.0062784652868594915
sh603108,2015-06-24,20,-0.12344050168568999,-0.6512236487599862,2015-11-12,2019-01-25,-0.028499072327423547,-0.6253129057497124,2015-11-12,2018-10-18,0.09494142935826644
sh603108,2015-06-26,22,-0.07686434772930073,-0.6512236487599862,2015-11-12,2019-01-25,-0.10516924018491858,-0.6516467366492015,2015-11-12,2018-12-25,-0.028304892455617847
sh603108,2015-06-30,24,-0.05295725164114662,-0.6512236487599862,2015-11-12,2019-01-25,-0.09480558018346474,-0.6966066209511208,2015-11-12,2019-01-23,-0.041848328542318125
