candle_end_time,open,high,low,close,amount,info
1993-01-18,1067.980,1078.030,1052.800,1055.320,338368.000,
1993-01-19,1053.520,1064.080,991.830,991.830,332610.000,
1993-01-20,990.090,1050.110,984.740,1043.310,258376.000,
1993-01-21,1051.600,1077.820,1046.180,1074.260,301863.000,
1993-01-22,1074.360,1109.590,1073.640,1100.310,325642.000,
1993-01-27,1126.370,1162.440,1113.570,1162.440,472631.000,
1993-01-28,1182.390,1186.210,1146.900,1150.370,460100.000,
1993-01-29,1156.840,1198.480,1140.240,1198.480,520097.000,
1993-02-01,1242.350,1278.500,1222.180,1278.500,683441.000,
1993-02-02,1292.400,1325.240,1291.990,1310.580,614412.000,
1993-02-03,1321.630,1326.190,1265.700,1300.560,560566.000,
1993-02-04,1323.130,1371.580,1297.460,1371.580,556916.000,
1993-02-05,1371.340,1404.640,1325.850,1332.960,651564.000,
1993-02-08,1339.590,1393.340,1334.190,1393.170,622541.000,
1993-02-09,1427.330,1483.520,1426.480,1474.920,764791.000,
1993-02-10,1500.520,1528.510,1448.070,1454.460,788795.000,
1993-02-11,1495.920,1497.010,1364.670,1397.380,731658.000,
1993-02-12,1378.200,1458.760,1352.270,1458.760,853779.000,
1993-02-15,1544.100,1544.100,1499.100,1536.820,716437.000,
1993-02-16,1555.150,1558.950,1504.360,1513.480,493706.000,
1993-02-17,1515.250,1533.580,1502.880,1504.000,374016.000,
1993-02-18,1503.720,1538.610,1497.790,1508.220,442316.000,
1993-02-19,1471.560,1514.460,1441.070,1499.740,504568.000,
1993-02-22,1487.840,1527.130,1453.310,1456.290,477999.000,
1993-02-23,1420.630,1466.070,1346.150,1367.360,471462.000,
1993-02-24,1310.040,1346.480,1196.470,1264.960,720960.000,
1993-02-25,1271.200,1421.350,1261.760,1410.360,595583.000,
1993-02-26,1436.990,1444.050,1320.890,1339.880,650262.000,
1993-03-01,1328.220,1339.100,1199.730,1199.730,425900.000,
1993-03-02,1207.570,1285.170,1186.340,1245.110,399956.000,
1993-03-03,1263.740,1267.540,1220.030,1231.770,193539.000,
1993-03-04,1231.920,1244.650,1131.290,1159.130,277966.000,
1993-03-05,1116.410,1180.580,1026.180,1109.540,484991.000,
1993-03-08,1133.520,1325.490,1133.460,1209.650,759314.000,
1993-03-09,1160.130,1209.660,1129.810,1137.790,391658.000,
1993-03-10,1099.520,1190.330,1089.360,1188.970,301789.000,
1993-03-11,1219.470,1261.800,1196.250,1261.800,448177.000,
1993-03-12,1280.370,1286.070,1231.390,1236.370,402110.000,
1993-03-15,1226.660,1241.040,1171.730,1171.730,256755.000,
1993-03-16,1167.910,1222.550,1155.100,1222.550,243173.000,
1993-03-17,1238.800,1239.330,1193.590,1202.850,165706.000,
1993-03-18,1203.200,1206.590,1171.430,1184.480,176715.000,
1993-03-19,1188.370,1207.560,1171.730,1174.990,263662.000,
1993-03-22,1148.290,1179.050,1036.920,1036.920,377137.000,
1993-03-23,1035.600,1035.630,958.420,971.250,350247.000,
1993-03-24,965.580,996.580,956.970,956.970,220168.000,
1993-03-25,963.530,965.960,913.740,945.420,219464.000,
1993-03-26,969.240,1039.760,945.930,1039.760,512568.000,
1993-03-29,1008.400,1047.880,961.490,970.450,244216.000,
1993-03-30,973.080,992.110,958.050,958.050,271615.000,
1993-03-31,953.290,957.940,918.400,925.910,235056.000,
1993-04-01,921.590,949.770,915.590,947.230,138293.000,
1993-04-02,953.510,968.050,940.550,944.010,184978.000,
1993-04-05,945.580,947.900,924.490,947.870,180059.000,
1993-04-06,949.810,1064.870,949.050,1059.620,538943.000,
1993-04-07,1108.640,1158.740,1076.450,1099.620,1019679.000,
1993-04-08,1099.620,1238.870,1099.620,1238.870,1044270.000,
1993-04-09,1322.070,1340.910,1236.460,1243.020,1069079.000,
1993-04-12,1254.620,1276.410,1195.570,1203.540,638958.000,
1993-04-13,1204.750,1297.840,1201.070,1297.360,668120.000,
1993-04-14,1304.330,1341.190,1247.830,1272.390,880808.000,
1993-04-15,1265.300,1298.340,1255.940,1278.840,597304.000,
1993-04-16,1282.790,1287.080,1211.830,1214.750,651470.000,
1993-04-19,1203.850,1241.860,1185.760,1223.220,478577.000,
1993-04-20,1257.100,1257.100,1233.720,1235.520,450074.000,
1993-04-21,1234.710,1243.470,1220.090,1222.560,280275.000,
1993-04-22,1227.100,1267.350,1220.270,1267.350,344891.000,
1993-04-23,1288.510,1295.760,1255.870,1260.250,556849.000,
1993-04-26,1298.920,1345.730,1282.540,1345.610,774385.000,
1993-04-27,1379.430,1391.420,1360.830,1363.440,911528.000,
1993-04-28,1371.100,1382.830,1357.910,1372.500,688093.000,
1993-04-29,1377.040,1392.620,1348.380,1349.680,502554.000,
