交易日期,当日收盘价,持仓数量,股票代码,调仓日期
2016-11-01,9.1400,200.0000,sz000001,1
2016-11-03,9.1300,200.0000,sz000001,1
2016-11-07,9.1200,200.0000,sz000001,1
2016-11-09,9.0700,200.0000,sz000001,1
2016-11-11,9.1800,200.0000,sz000001,1
2016-11-15,9.2300,200.0000,sz000001,1
2016-11-17,9.2100,200.0000,sz000001,1
2016-11-21,9.2400,200.0000,sz000001,1
2016-11-23,9.4500,200.0000,sz000001,1
2016-11-25,9.6200,200.0000,sz000001,1
2016-11-29,9.6200,200.0000,sz000001,1
2016-12-01,9.6000,200.0000,sz000001,1
2016-12-05,9.4600,200.0000,sz000001,1
2016-12-07,9.4800,200.0000,sz000001,1
2016-12-09,9.6500,200.0000,sz000001,1
2016-12-13,9.4200,200.0000,sz000001,1
2016-12-15,9.2500,200.0000,sz000001,1
2016-12-19,9.2000,200.0000,sz000001,1
2016-12-21,9.1600,200.0000,sz000001,1
2016-12-23,9.0800,200.0000,sz000001,1
2016-12-27,9.0800,200.0000,sz000001,1
2016-12-29,9.0800,200.0000,sz000001,1
2017-01-03,9.1600,200.0000,sz000001,1
2017-01-05,9.1700,200.0000,sz000001,1
2017-01-09,9.1500,200.0000,sz000001,1
2017-01-11,9.1400,200.0000,sz000001,1
2017-01-13,9.1600,200.0000,sz000001,1
2017-01-17,9.1500,200.0000,sz000001,1
2017-01-19,9.1800,200.0000,sz000001,1
2017-01-23,9.2200,200.0000,sz000001,1
2017-01-25,9.2600,200.0000,sz000001,1
2017-02-03,9.2600,200.0000,sz000001,1
2017-02-07,9.3000,200.0000,sz000001,1
2017-02-09,9.3100,200.0000,sz000001,1
2017-02-13,9.4100,200.0000,sz000001,1
2017-02-15,9.4500,200.0000,sz000001,1
2017-02-17,9.3900,200.0000,sz000001,1
2017-02-21,9.5700,200.0000,sz000001,1
2017-02-23,9.5100,200.0000,sz000001,1
2017-02-27,9.4300,200.0000,sz000001,1
2017-03-01,9.4900,200.0000,sz000001,1
2017-03-03,9.4000,200.0000,sz000001,1
2017-03-07,9.4500,200.0000,sz000001,1
2017-03-09,9.3800,200.0000,sz000001,1
2017-03-13,9.4400,200.0000,sz000001,1
2017-03-15,9.4800,200.0000,sz000001,1
2017-03-17,9.3100,200.0000,sz000001,1
2017-03-21,9.2400,200.0000,sz000001,1
2017-03-23,9.2000,200.0000,sz000001,1
2017-03-27,9.1400,200.0000,sz000001,1
2017-03-29,9.1100,200.0000,sz000001,1
2017-03-31,9.1700,200.0000,sz000001,1
2017-04-06,9.2000,200.0000,sz000001,1
2017-04-10,9.1800,200.0000,sz000001,1
2017-04-12,9.1200,200.0000,sz000001,1
2017-04-14,9.0800,200.0000,sz000001,1
2017-04-18,9.0500,200.0000,sz000001,1
2017-04-20,8.9200,200.0000,sz000001,1
2017-04-24,8.9300,200.0000,sz000001,1
2017-04-26,8.9900,200.0000,sz000001,1
2017-04-28,8.9900,200.0000,sz000001,1
2017-05-03,8.9100,200.0000,sz000001,1
2017-05-05,8.6300,200.0000,sz000001,1
2017-05-09,8.6400,200.0000,sz000001,1
2017-05-11,8.7000,200.0000,sz000001,1
2017-05-15,8.8600,200.0000,sz000001,1
2017-05-17,8.7700,200.0000,sz000001,1
2017-05-19,8.6900,200.0000,sz000001,1
2017-05-23,8.7900,200.0000,sz000001,1
2017-05-25,9.1000,200.0000,sz000001,1
2017-05-31,9.2000,200.0000,sz000001,1
2017-06-02,9.1700,200.0000,sz000001,1
2017-06-06,9.0400,200.0000,sz000001,1
2017-06-08,9.1300,200.0000,sz000001,1
2017-06-12,9.1100,200.0000,sz000001,1
2017-06-14,9.0800,200.0000,sz000001,1
2017-06-16,9.0200,200.0000,sz000001,1
2017-06-20,9.1200,200.0000,sz000001,1
2017-06-22,9.2500,200.0000,sz000001,1
2017-06-26,9.3000,200.0000,sz000001,1
2017-06-28,9.4300,100.0000,sz000001,1
2017-06-30,9.3900,100.0000,sz000001,1
2017-07-04,9.3400,100.0000,sz000001,1
2017-07-06,9.4000,100.0000,sz000001,1
2017-07-10,9.5900,100.0000,sz000001,1
2017-07-12,10.3400,100.0000,sz000001,1
2017-07-14,10.9000,100.0000,sz000001,1
2017-07-18,11.0500,100.0000,sz000001,1
2017-07-20,10.9700,100.0000,sz000001,1
2017-07-24,10.9500,100.0000,sz000001,1
2017-07-26,10.7400,100.0000,sz000001,1
2017-07-28,10.7400,100.0000,sz000001,1
2017-08-01,11.0400,100.0000,sz000001,1
2017-08-03,11.0100,100.0000,sz000001,1
2017-08-07,11.0000,100.0000,sz000001,1
2017-08-09,10.7300,100.0000,sz000001,1
2017-08-11,10.0200,100.0000,sz000001,1
2017-08-15,10.3100,100.0000,sz000001,1
2017-08-17,10.4200,100.0000,sz000001,1
2017-08-21,10.4600,100.0000,sz000001,1
2017-08-23,10.9000,100.0000,sz000001,1
2017-08-25,11.1100,100.0000,sz000001,1
2017-08-29,11.6700,100.0000,sz000001,1
2017-08-31,11.2800,100.0000,sz000001,1
2017-09-04,11.7200,100.0000,sz000001,1
2017-09-06,11.7000,100.0000,sz000001,1
2017-09-08,11.4900,100.0000,sz000001,1
2017-09-12,11.5400,100.0000,sz000001,1
2017-09-14,11.3200,100.0000,sz000001,1
2017-09-18,11.2500,100.0000,sz000001,1
2017-09-20,11.2900,100.0000,sz000001,1
2017-09-22,11.4400,100.0000,sz000001,1
2017-09-26,11.0500,100.0000,sz000001,1
2017-09-28,10.8800,100.0000,sz000001,1
2017-10-09,11.3000,100.0000,sz000001,1
2017-10-11,11.5300,100.0000,sz000001,1
2017-10-13,11.3600,100.0000,sz000001,1
2017-10-17,11.5100,100.0000,sz000001,1
2017-10-19,11.6300,100.0000,sz000001,1
2017-10-23,11.1900,100.0000,sz000001,1
2017-10-25,11.2700,100.0000,sz000001,1
2017-10-27,11.5600,100.0000,sz000001,1
2017-10-31,11.5400,100.0000,sz000001,1
2017-11-02,11.5400,100.0000,sz000001,1
2017-11-06,11.2800,100.0000,sz000001,1
2017-11-08,12.1300,100.0000,sz000001,1
2017-11-10,12.3000,100.0000,sz000001,1
2017-11-14,12.9500,100.0000,sz000001,1
2017-11-16,13.1000,100.0000,sz000001,1
2017-11-20,14.2500,100.0000,sz000001,1
2017-11-22,15.1000,100.0000,sz000001,1
2017-11-24,14.5600,100.0000,sz000001,1
